Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,_1,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C,23,TOR,12,245,14,0.493,0.304,0.359,10.3,29,19.2,9.4,0.4,2.9,12.3,20.9,0.1,0.2,0.3,0.063,,-2,-1.8,-3.9,-0.1,achiupr01
2,Steven Adams,C,29,MEM,13,352,16.5,0.572,0,0.446,20.8,24.1,22.5,12.9,1.4,4.2,27.8,12.7,0.3,0.5,0.9,0.117,,-1,0.5,-0.6,0.1,adamsst01
3,Bam Adebayo,C,25,MIA,14,490,17.5,0.59,0.026,0.352,7.8,22.9,15.1,16.1,1.7,2.3,18.1,24.8,0.3,0.7,1,0.097,,-1.1,0.6,-0.6,0.2,adebaba01
4,Ochai Agbaji,SG,22,UTA,6,67,6.6,0.453,0.316,0.368,6.5,9.8,8.1,2,0,0,0,13.7,0,0,0.1,0.039,,-4.7,-3.6,-8.3,-0.1,agbajoc01
5,Santi Aldama,PF,22,MEM,14,388,13.7,0.554,0.447,0.193,7.2,16.7,12,4.5,1.6,4,7.5,14.3,0.5,0.5,1,0.118,,-0.9,0.8,-0.2,0.2,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,9,70,9,0.445,0.481,0.185,0,9.4,4.7,18.9,3.4,3.5,14.6,20.3,-0.1,0.1,0,0.024,,-4.9,1.2,-3.7,0,alexani01
7,Grayson Allen,SG,27,MIL,12,305,12.6,0.616,0.635,0.353,3.1,7.6,5.4,13.9,1.6,0.8,16.2,15.9,0.4,0.4,0.8,0.133,,-0.8,0.8,0,0.1,allengr01
8,Jarrett Allen,C,24,CLE,12,390,18.3,0.595,0.016,0.315,12.6,28.7,20.7,5.4,0.6,3.6,10.7,17.6,0.7,0.6,1.4,0.17,,0.6,0.4,1,0.3,allenja01
9,Jose Alvarado,PG,24,NOP,13,244,13.3,0.589,0.531,0.111,2.3,9.8,6,20.1,2.4,0.8,16.7,17.6,0.2,0.3,0.5,0.096,,-0.8,0.4,-0.3,0.1,alvarjo01
10,Kyle Anderson,PF,29,MIN,10,193,15.3,0.667,0.325,0.325,2.3,13.4,8.1,19.8,2,2.3,14.9,11.7,0.4,0.2,0.6,0.146,,0.8,1.5,2.4,0.2,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,10,326,29.7,0.584,0.156,0.611,5.7,31,18.5,33.3,1.6,3.3,12.4,38.9,0.7,0.8,1.5,0.222,,5.8,3.8,9.6,1,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,7,19,1.9,0,0,0,5.4,21.3,13.4,6.4,0,4.3,50,4.4,0,0,0,0.008,,-8.6,1.2,-7.4,0,antetth01
13,Cole Anthony,PG,22,ORL,4,122,14.1,0.52,0.377,0.283,3,13.9,8.8,21.5,1.2,2.3,11.8,23.9,0.1,0.1,0.2,0.077,,-0.2,0.1,-0.1,0.1,anthoco01
14,OG Anunoby,SF,25,TOR,15,532,16,0.563,0.359,0.239,4.2,15.8,9.7,8,3.7,2.8,13.2,21.1,0.3,0.8,1.1,0.096,,-0.8,1.1,0.3,0.3,anunoog01
15,Ryan Arcidiacono,PG,28,NYK,3,6,8.5,0,1,0,0,35.1,17.3,19.3,7.9,0,0,6.9,0,0,0,0.055,,-10.5,11.7,1.3,0,arcidry01
16,Deni Avdija,SF,22,WAS,14,315,8.8,0.491,0.409,0.25,3.2,17.7,10.7,11.8,1.4,2.2,14.8,16.1,-0.2,0.4,0.2,0.037,,-4.4,0.7,-3.7,-0.1,avdijde01
17,Deandre Ayton,C,24,PHO,11,300,17.6,0.604,0.064,0.152,11.2,21.8,16.4,9.1,1.2,1.9,15.3,22.8,0.3,0.4,0.7,0.116,,-0.1,-0.6,-0.7,0.1,aytonde01
18,Udoka Azubuike,C,23,UTA,5,20,29.2,0.833,0,0,10.8,38.3,24.5,7.9,4.8,8.1,25,16.6,0,0.1,0.1,0.235,,3.7,5.3,8.9,0.1,azubuud01
19,Marvin Bagley III,PF,23,DET,2,46,15.8,0.577,0.188,0.188,11.2,9.4,10.3,3.6,1,3.7,10.4,17.5,0.1,0,0.1,0.076,,0.2,-1.7,-1.5,0,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,2,5,-7.4,0,1,0,0,0,0,0,0,0,0,8.4,0,0,0,-0.214,,-9.8,-6,-15.8,0,baldwpa01
21,LaMelo Ball,PG,21,CHO,2,62,8.9,0.429,0.667,0.083,0,17.7,8.6,37.6,0.8,1.4,15.8,30.1,-0.1,0.1,-0.1,-0.073,,-3.5,-4.2,-7.7,-0.1,ballla01
22,Mo Bamba,C,24,ORL,13,197,16.1,0.585,0.42,0.232,9.2,21,15.5,10.1,0.5,4.3,11.6,18.9,0.3,0.2,0.5,0.126,,-0.1,0.4,0.3,0.1,bambamo01
23,Paolo Banchero,PF,20,ORL,11,381,19.2,0.556,0.223,0.472,2.9,22.8,13.5,17.6,1,2.5,12.4,30.2,0.4,0.4,0.8,0.104,,1,-0.5,0.5,0.2,banchpa01
24,Desmond Bane,SG,24,MEM,12,403,21.7,0.622,0.479,0.268,1.6,14,7.8,22.1,0.8,0.7,10.2,27.3,1.3,0.3,1.6,0.194,,5.4,-0.8,4.6,0.7,banede01
25,Dalano Banton,PG,23,TOR,14,147,20.9,0.576,0.431,0.222,4.3,10.5,7.2,17.6,2.7,6.8,11.2,25.5,0.2,0.2,0.4,0.141,,2.8,1.3,4.1,0.2,bantoda01
26,Dominick Barlow,SF,19,SAS,1,10,6.9,0.333,0.667,0,0,11.5,5.5,39.1,0,0,0,12.4,0,0,0,0.037,,-5.2,-0.5,-5.7,0,barlodo01
27,Harrison Barnes,PF,30,SAC,12,381,11.2,0.543,0.404,0.495,4.4,15.6,10,8.7,1.1,0.7,9.7,15.2,0.3,0.2,0.5,0.068,,-1.6,-1.2,-2.8,-0.1,barneha02
28,Scottie Barnes,PF,21,TOR,14,449,14.6,0.5,0.295,0.142,5.9,17.4,11.3,22.5,1.4,2.2,13.4,20.3,0.2,0.4,0.6,0.065,,0.3,-0.9,-0.6,0.2,barnesc01
29,RJ Barrett,SG,22,NYK,13,441,12.9,0.526,0.346,0.284,3,13.6,8.3,12.7,0.8,0.4,11,24.6,0.1,0.2,0.3,0.037,,-0.7,-2,-2.8,-0.1,barrerj01
30,Will Barton,SG,32,WAS,14,334,10.3,0.494,0.459,0.123,2,13.8,8.1,15.1,1.2,1.1,12.3,19.4,-0.2,0.3,0.2,0.024,,-2.3,-0.5,-2.9,-0.1,bartowi01
31,Charles Bassey,C,22,SAS,5,86,23.2,0.698,0.238,0.286,17.5,33.3,25.2,16.2,1.6,9.4,22.8,14.7,0.2,0.1,0.4,0.201,,1.2,3.7,4.9,0.1,bassech01
32,Keita Bates-Diop,SF,27,SAS,13,177,15,0.58,0.254,0.268,10.3,11.6,11,5.9,1.9,0,15,21.8,0.1,0.1,0.2,0.046,,-0.4,-2.7,-3.1,0,bateske01
33,Nicolas Batum,PF,34,LAC,14,248,9.4,0.52,0.714,0.224,5.2,19,12.5,10.9,1.2,4.7,18.2,11.8,0,0.4,0.4,0.083,,-3.8,2.2,-1.5,0,batumni01
34,Darius Bazley,PF,22,OKC,11,184,16.7,0.479,0.281,0.172,9.9,20,14.8,12.1,2.3,6.7,8,16.8,0.1,0.3,0.4,0.117,,0,1.8,1.8,0.2,bazleda01
35,Bradley Beal,SG,29,WAS,9,316,20,0.611,0.28,0.252,2.1,8.8,5.6,26.8,1.2,2,13.1,25.6,0.6,0.3,0.9,0.138,,3,-0.7,2.3,0.3,bealbr01
36,Malik Beasley,SG,26,UTA,15,384,13.9,0.582,0.658,0.079,2.8,12,7.4,6.6,1.9,0.4,6.5,18.2,0.5,0.4,0.9,0.111,,1.2,-0.3,0.9,0.3,beaslma01
